veredicto	branch	razon_corta
SALTAR	fix/ci-vitest-pool-singlefork	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
SALTAR	feat/orphan-wiring-wave1-2026-06-24	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
CONECTAR	fix/e2e-vida-safety-2026-06-23	Agrega projectsRead.rules.test.ts: unica cobertura del READ top-level projects/{id} via members array-contains (ruta SOS/ProjectContext, vida-safety); main NO testea esa query LIST (solo usa projects como seed). merge-base diff +319/-12, no esta atrasada.
SALTAR	feat/f4-tokenize-broken-pages-2026-06-22	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
SALTAR	fix/vitest-pool-hang-2026-06-22	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
SALTAR	feat/backend-pipelines-2026-06-22	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
SALTAR	feat/mount-vida-legal-orphans-2026-06-22	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
SALTAR	fix/stability-blockers-2026-06-22	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
SALTAR	feat/frontend-redesign-f2	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
SALTAR	security/audit-hardening-2026-06-22	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
SALTAR	feat/ley-karin-notify-lead	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
SALTAR	fix/guard-hang-global-async-errors	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
SALTAR	fix/guard-pinsign	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
SALTAR	fix/guard-infra-error-5xx	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
SALTAR	chore/wire-orphans-real-2b	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
SALTAR	chore/router-tests-wave8f	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
SALTAR	feat/mount-epp-inspection	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
SALTAR	feat/incidentflow-hub	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
SALTAR	feat/change-management-moc	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
SALTAR	feat/mount-lone-worker-admin	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
SALTAR	feat/mount-legal-obligations	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
SALTAR	feat/mount-custody-chain-card	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
SALTAR	feat/mount-project-closure-card	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
SALTAR	fix/test-residual-risk	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
SALTAR	fix/test-mountain-refuges	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
SALTAR	fix/test-confidential-reports	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
SALTAR	fix/test-pre-shift-risk	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
SALTAR	feat/mount-use-roi-scenario	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
SALTAR	feat/mount-use-project-comparator	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
SALTAR	feat/mount-requirement-gate-panel	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
SALTAR	feat/mount-use-reconciliation-status	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
SALTAR	feat/mount-use-research-mode	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
SALTAR	feat/mount-use-multi-role-summary	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
SALTAR	feat/mount-confidential-report-inbox	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
