unique	total	date	branch	files	subject
9	9	2026-06-28	feat/wire-failure-library-panel	docs/PENDIENTE-DASHBOARD-2026-06-28.md,docs/audits/branch-review/INVENTORY-2026-06-28.tsv,docs/specs/2026-06-28-guest-mode-funnel.md,package.json,playwright.config.ts,scripts/connectivity-ratchet-baseline.json	docs(audit): inventario de 629 ramas sin fusionar para revision/consolidacion
2	2	2026-06-27	fix/ci-vitest-pool-singlefork	src/services/compliance/registry.ts,vitest.config.ts	fix(compliance): annotate DS 40/1969 as derogated in registry.ts DS 67 citation
0	1	2026-06-27	fix/authz-cross-tenant	src/__tests__/server/externalAuditPortal.rolegate.test.ts,src/__tests__/server/externalAuditPortal.test.ts,src/__tests__/server/gemini.router.test.ts,src/server/routes/externalAuditPortal.ts,src/server/routes/gemini.ts,src/server/routes/medicalAptitude.test.ts	fix(authz): close 3 cross-tenant IDOR leaks in authz-sensitive routes
1	1	2026-06-24	feat/orphan-wiring-wave1-2026-06-24	scripts/connectivity-ratchet-baseline.json,scripts/render-ratchet-baseline.json,src/components/WeatherSafetyRecommendations.tsx,src/pages/CriticalControlsView.tsx,src/pages/CulturePulse.tsx,src/pages/Diagnostico.tsx	feat(b3): wire 12 orphaned components  connectivity ratchet 3725
3	3	2026-06-24	fix/b7-theme-shim-2026-06-24	public/heroes/hero-construction.svg,public/heroes/hero-ergonomics.svg,public/heroes/hero-movement.svg,public/heroes/hero-team.svg,public/heroes/hero-wellness.svg,scripts/render-ratchet-baseline.json	fix(theme): make ThemeContext a thin shim over AppModeContext
2	2	2026-06-24	fix/b6-local-heroes-2026-06-24	public/heroes/hero-construction.svg,public/heroes/hero-ergonomics.svg,public/heroes/hero-movement.svg,public/heroes/hero-team.svg,public/heroes/hero-wellness.svg,scripts/render-ratchet-baseline.json	chore(ratchet): sync render-ratchet baseline (Badge/Input orphaned, CalmRec/Lessons now rendered)
1	1	2026-06-24	dependabot/npm_and_yarn/simplewebauthn/server-13.3.1	package-lock.json,package.json	chore(deps): bump @simplewebauthn/server from 11.0.0 to 13.3.2
1	1	2026-06-24	dependabot/github_actions/actions/setup-java-5	.github/workflows/ci.yml,.github/workflows/dr-dryrun.yml,.github/workflows/e2e.yml,.github/workflows/loadtest.yml,.github/workflows/mobile-build-check.yml,.github/workflows/mobile-release.yml	chore(ci): bump actions/setup-java from 4 to 5
1	1	2026-06-24	dependabot/npm_and_yarn/types/node-26.0.0	package-lock.json,package.json	chore(deps): bump @types/node from 22.19.15 to 26.0.0
1	1	2026-06-24	dependabot/npm_and_yarn/huggingface/transformers-4.2.0	package-lock.json,package.json	chore(deps): bump @huggingface/transformers from 3.8.1 to 4.2.0
